'Camp','Latitude','Longitude'
'Balule Satellite Camp','24°3’22”S','31°43’45”E'
'Bateleur Bushveld Camp','23°14’3”S','31°12’8”E'
'Berg-en-Dal Rest Camp','25°25’12”S','31°27’4”E'
'Biyamiti Bushveld Camp','25°19’16”S','31°41’57”E'
'Boulders Bush Lodge','23°36’27”S','31°22’45”E'
'Crocodile Bridge Rest Camp','25°21’30”S','31°53’32”E'
'KaDirk (camping Site)','25°9’58”S','31°57’60”E'
'KaMorageng (camping Site)','25°7’54”S','31°49’27”E'
'Letaba Rest Camp','23°51’4”S','31°34’36”E'
'Lonely Bull (camping site)','23°44’56”S','31°23’14”E'
'Lower Sabie Rest Camp','25°7’16”S','31°55’2”E'
'Malelane Satellite Camp','25°28’20”S','31°30’32”E'
'Maroela Satellite Camp','24°27’23”S','31°23’58”E'
'Mopani Rest Camp','23°31’39”S','31°23’59”E'
'Olifants Rest Camp','24°0’20”S','31°44’25”E'
'Orpen Rest Camp','24°28’29”S','31°23’28”E'
'Pretoriuskop Rest Camp','25°10’20”S','31°16’9”E'
'Punda Maria Rest Camp','22°41’44”S','31°00’58”E'
'Roodewal Bush Lodge','24°8’38”S','31°37’50”E'
'Satara Rest Camp','24°23’52”S','31°46’40”E'
'Shimuwini Bushveld Camp','23°42’40”S','31°16’18”E'
'Shingwedzi Rest Camp','23°6’58”S','31°25’57”E'
'Sirheni Bushveld Camp','23°56’58”S','31°13’51”E'
'Skukuza Rest Camp','24°59’43”S','31°35’34”E'
'Talamati Bushveld Camp','24°33’27”S','31°33’18”E'
'Tamboti Satellite Camp','24°27’42”S','31°23’54”E'
'Tsendze Rustic Camp Site','23°33’21”S','31°26’27”E'
